Russ,Russell's Reports (ER vol 38) ,UK! R-U,1823-1 829
Russ & M,Russell & Mylne's Reports (ER vol 39) ,UK! R-U,1829-1831
Russ & Ry,Russell & Ryan's Crown Cases (ER vol 168) ,UK! R-U,1799-1823
Russ ER,Russ ER Russell's Election Reports ,Can (NS),1874
SAFP,Sentences arbitrales de la fonction publique ,Can (QC),1983-
S Afr LR,South African Law Reports ,SAfrdu sud,1947-
SAG,Sentences arbitrales de griefs ,Can (QC),1970-1 981
Salk,Salkeld's Reports (ER vol 91) ,UK! R-U,1689-1712
SALR,South Australia Law Reports ,Austl,1865-
Sarbah,Sarbah's Fanti Law Reports ,Ghana,1845-1903
SARB Dec,Social Assistance Review Board Selected Decisions,Can (ON),1975-1986
SARB Sum,Social Assistance Review Board Summaries of Decisions,Can (ON),1988-1 994
Sask C Comp B,Saskatchewan Crimes Compensation Board# Awards,Can (SK),1968-1992
Sask Human Rights Comm'n Dec,Saskatchewan Human Rights Commission Decisions,Can (SK),1973-1 981
Sask LR,Saskatchewan Law Reports ,Can (SK),1907-1931
Sask LRBD,Saskatchewan Labour Relations Board Decisions,Can (SK),1945-1 977
Sask LRBDC,Saskatchewan Labour Relations Board# Decisions and Court Cases,Can (SK),1945-1964
Sask LRBR,Saskatchewan Labour Relations Board# Report of Meetings,Can (SK),1967-1 973
Sask R,Saskatchewan Reports,Can,1980-
Sask SC Bull,Saskatchewan Securities Commission Monthly Bulletin,Can (SK),1984-
SASR,South Australia State Reports ,Austl (SA),1921-
Sav,Savile's Reports (ER vol 123) ,UK! R-U,1580-1 594
Say,Sayer's Reports (ER vol 96) ,UK! R-U,1751-1756
SCC Cam,Canada Supreme Court Cases (Cameron) (Published / publié 1918),Can,1887-1890
SCC Cam (2d),Canada Supreme Court Reports (Cameron) (Published / publié 1925),Can,1876-1922
SCC Coutl,Canada Supreme Court Cases (Coutlee) ,Can,1875-1 907
SCCB,Supreme Court of Canada Bulletin of Proceedings,Can,1970-
SCCD,Supreme Court of Canada Decisions,Can,1978-
SCCR,Supreme Court of Canada Reports Service,Can, 197 1-
Scot LR,Scottish Law Reporter,Scot / Ecosse , 1865-1924
SCR,Canada Law Reports: Supreme Court of  Canada,Can, 1923-1969
SCR,Canada Supreme Court Reports,Can,1877-1922# 1970-
S Ct,Supreme Court Reporter,US / -U,1882-
SE,South Eastern Reporter,US/E-U,1887-1939
SE (2d),South Eastern Reporter (Second Series), US/E-U,1939-1988
Searle,Searle's Reports, S Afr du sud,1850-1 867
SEC Dec,Securities and Exchange Commission Decisions,US / E-U,1934-
Sel Cat King,Select Cases# temp King (ER vol 25),UK I R-U,1724-1733
Sem Jur,Semaine Juridique,France,1927-1936
Sess Cas,Session Cases,UKIR-U,17 10-1748
Sess Cas,Session Cases,Scot I Ecosse,1906-
Sess Cas S,Session Cases (Shaw & Balantine),Scot / Ecosse, 1821-1 838
Sess Cas D,Session Cases (Second Series) (Dunlop),Scot / Ecosse, 1838-1 862
Sess Cas F,Session Cases (Fifth Series) (Fraser),Scot I Ecosse,1898-1906
Sess Cas M,Session Cases (Third Series) (Macpherson),Scot I Ecosse, 1862-1873
Sess Cas R,Session Cases (Fourth Series) (Rettie),Scot I Ecosse,1873-1898
Show KB,Shower's Reports# King's Bench (ER vol 89),UK/R-U, 1678-1695
Show PC,Shower's Reports# Privy Council (ER vol 1),UK) R-U, 1694-1699
Sid,Siderfin's Reports# King's Bench (ER vol 82),UK) R-U, 1657-1 670
Sim,Simons's Reports (ER vols 57-60),UK) R-U,1826-1 852
Sim (NS),Simons'a New Reports (ER vol 61),UK! R-U,1850-1852
Sim & St,Simons & Stuart's Reports (ER vol 57),UK/R-U, 1822-1826
SLLR,Sierra Leone Law Reports,W Afr, 1960-1963
SLT,Scots Law Times,Scot I Ecosse,1893-
SLR,Singapore Law Reports,Sing,1946-
SLR (R),Singapore Law Reports (Reissue),Sing,1965-2002
Skin,Skinner's Reports (ER vol 90),UK/R-U,168 1-1698
Sm & G,Smale & Giffard's Reports (ER vol 65),UK/R-U,1852-1857
Sm & S,Smith and Sager's Drainage Cases,Can (ON),1901-1913
SNB & B,Sarawak# North Borneo and Brunei Supreme Court Reports,Malay,1952-1963
So, Southern Reporter,usIE-U, 1887-1941
So (2d),Southern Reporter (Second Series) ,1941-,US! E-U
SOLR,Sexual Offences Law Reporter ,1994-,Can
Sp Ecc & Ad,Spinks's Ecclesiastical & Admiralty Reports (ER vol 164),1863-1855,UK! R-U
 Sp PC,Spinks' Prize Court Cases (ER vol 164) ,1854-1856,UK! R-U
SRLA,Speakers' Rulings# Legislative Assembly ,1923-1 982,Can (NB)
SSC,Sarawak Supreme Court Reports ,1928-1953,Malay
SSLR,Straits Settlements Law Reports ,1893-1 942,Sing
Stark,Starkie's Reports (ER vol 171) ,1814-1820,UK! R-U
St-MSD,Saint-Maurice's Speakers' Decisions ,1868-1885,Can (QC)
Str,Strange's Reports (ER vol 93) ,1716-1749,UK) R-U
STR,Canadian Sales Tax Reporter ,1968-1989,Can
Stu Adm,Stuart's Vice-Admiralty Reports (Lower Canada) ,1836-1874,Can (QC)
Stu KB,Stuart's Reports (Lower Canada) ,1810-1835,Can (QC)
Sty,Style's Reports (ER vol 82) ,1646-1655,UK! R-U
Sudan LR,Sudan Law Reports ,1956-1971,Sudan
SW,South Western Reporter ,1979-,US! E-U
SW (2d),South Western Reporter (Second Series) ,1928-,US! E-U
Sw & Tr,Swabey & Tristram's Reports (ER vol 164) ,1858-1 865,UK! R-U
Swab,Swabey's Reports (ER vol 166) ,1855-1 859,UK! R-U
Swans,Swanston's Reports (ER vol 36) ,1818-1819,UK! R-U
TA,Decisions du Tribunal d'arbitrage ,1982-1997,Can (QC)
Talb,Talbot's Cases temp (ER vol 25) ,1733-1738,UK! R-U
Taml,Tamlyn's Reports (ER vol 48) ,1829-1830,UK! R-U
TAAT,Tribunal d'appel des accidents du travail ,1985-1 997,Can (ON)
TAQ,Decisions du Tribunal admirfstratif du Québec ,1998-,Can (QC)
Tas LR,Tasmanian Law Reports ,1896-1940,Austl (Tas)
Tas R,Tasmania Reports ,1979-,Austl (Tas)
Tas SR,Tasmania State Reports ,1941-1978,Austl (Tas)
Taun ,Taunton's Reports (ER vols 127-129) ,1807-1819,UK! R-U
Tax ABC,Tax Appeal Board Cases ,1949-1966,Can
Tax ABC (NS),Tax Appeal Board Cases (New Series) ,1967-1972,Can
TBR,Tariff Board Reports ,1937-1988,Can
TBRD,Taxation Board of Review Decisions ,1939-1949,Austl
TBRD (NS),Taxation Board Review Decisions (New Series) ,1950-1968,Austl
TCD,Tribunal de Ia Concurrence# decisions ,1986-,Can
TCT,Canadian Trade and Commodity Tax Cases ,1989-1992,Can
TE,Recueils de jurisprudence du tribunal de l'expropriation,1972-1986,Can (QC)
Terr LR,Territories Law Reports ,1885-1907,Can (NWT)
TJ,Recueils de jurisprudence du Quebec; Tribunal de la jeunesse,1978-1 985,Can (QC)
TLLR,Tenant and Landlord Law Reports ,1983-1988,Can (ON)
TLR, Times Law Reports ,1884-1952,UK! R-U
TMR,Trademark Reporter ,1911-,US! E-U
Toth,Tothill's Reports (ER vol 21) ,1559-1646,UK! R-U
TPEI,Tucker's Select Cases of Prince Edward Island ,1817-1 828,Can (PEI)
TR,Term Reports (ERvols 99-101) ,1785-1800,UK! R-U
Trib conc dec,Tribunal de la concurrence# decisions ,1986-?,Can
TSPAAT,Tribunal d'appel de Ia sécurité professionnelle et de l'assurance contre les accidents du travail,1998-,Can (ON)
TTC,Hunter's Torrens Title Cases ,1865-1893,Austl# Can# NZ N-Z# UK R-U
TTJ,Jurisprudence en droit du travail;Tribunal du travail,1970-1981,Can (QC)
TTR,Trade and Tariff Reports ,1990-1996,Can
Turn & R,Trade and Tarrif Reports (Second Series) ,1996-,Can
TTR (2d),Turner & Russell's Reports# Chancery (ER vol 37),1822-1824,UK! R-U
UC Chamb Rep,Upper Canada Chambers Reports ,1846-1 852,Can (ON)
UCCP,Upper Canada Common Pleas Reports ,1850-1882,Can (ON)
UCE & A,Upper Canada Error and Appeal Reports (Grant) ,1846-1866,Can (ON)
UCKB,Upper Canada King's Bench Report (Old Series) ,1831-1 844,Can (ON)
UCQB,Upper Canada Queen's Bench Reports (New Series),1842-1882,Can (ON)
UCQB (OS),Upper Canada Queen's Bench Reports (Old Series),1831 -1 838,Can (ON)
Uganda LR,Uganda Law Reports ,1904-1973,E Afr
UIC Dec Ump,Unemployment Insurance Commission - Decisions of the Umpire,1943-,Can
UIC Selec Dec Ump,Unemployment Insurance Commission - Selected Decisions of the Umpire,1943-1949,Can
US,United States Reports ,1754-,US! E-U
USLW,United States Court of Appeals Reports ,1941-,US! E-U
US App DC,United States Law Week ,1933-,US! E-U
Vaugh,Vaughan's Reports (ER vol 124) ,1665-1 674,UK! R-U
Vent,Ventris's Reports (ER vol 86) ,1666-1688,UK! R-U
Vern,Vernon's Reports (ER vol 23),1680-1 719, UK / R-U
Ves & Bea,Vesey & Beames' Reports (ER vol 35) ,1812-1814,UK! R-U
Ves Jr,Vesey Junior's Reports (ER vols 30-34) ,1789-1817,UKIR-U
Ves Sr,Vesey Senior's Reports (ER vols 27-28) ,1746-1755,UK JR-U
VLR,Victorian Law Reports ,1886-1 956,Austl (Vic)
VR,Victorian Reports ,1870-1872# 1957-,Austl (Vic)
WAC,Western Appeal Cases ,1991-,Can
WALR,Western Australia Law Reports ,1899-1959,Austl (WA)
WAR,Western Australia Reports ,1960-1990,Austl (WA)
WAR (NS),Western Australia Reports (New Series) ,1990-,Austi (WA)
WCAT Dec,Workers' Compensation Appeal Tribunal Decisions,1987-,Can (NF)
WCATR,Workers Compensation Appeals Tribunal Reporter,1986-1997,Can (ON)
WCB,Weekly Criminal Bulletin ,1976-1 986,Can
WCB (2d),Weekly Criminal Bulletin (Second Series) ,1986-,Can
WDCP,Weekly Digest of Civil Procedure ,1985-1989,Can
WDCP (2d),Weekly Digest of Civil Procedure (Second Series),1990-1994,Can
WDCP (3d),Weekly Digest of Civil Procedure (Third Series),1994-,Can
WDFL,Weekly Digest of Family Law,1982-,Can
Welsb H & G,Welsby# Hurlstone & Gordon's Exchequer Reports (ER vols 154-156),1847-1 856,UKJR-U
West# t Hard,West# temp Hardwicke Reports (ER vol 25) ,1736-1739,UK! R-U
West,West's Reports (ER vol 9) ,1839-1841,UK! R-U
West's Alaska,West's Alaska Digest ,1987-,Can (AB)
Wight,Wightwick's Reports (ER vol 145) ,1810-1811,UK! R-U
Will Woll & H,Willmore# Wollaston & Hodges's Reports ,1838-1839,UK! R-U
Willes,Willes's Reports (ER vol 125) ,1737-1 760,UK! R-U
Wilm,Wilmot's Reports (ER vol 97) ,1757-1770,UK! R-U
Wils Ch,Wilson's Reports# Chancery (ER vol 37) ,1818-1819,UK! R-U
Wils Ex,Wilson's Reports# Exchequer (ER vol 159) ,1805-1817,UK! R-U
Wils KB,Wilson's Reports# King's Bench (ER vol 95) ,1742-1774,UK! R-U
Winch,Winch's Reports (ER vol 124) ,1621-1625,UK! R-U
WLAC,Western Labour Arbitration Cases ,1966-1985,Can
WLR,Weekly Law Reports ,1953-,UK! R-U
WLR,Western Law Reporter ,1905-1917,Can
WLRBD,Canadian Wartime Labour Relations Board Decisions,1944-1 948,Can
 WLTR,Western Law Times and Reports ,1890-1896,Can
Wms Saund,Williams & Saunders's Reports (ER vol 85) ,1666-1673,UK! R-U
 W Rob,W Robinson's Reports (ER vol 166) ,1838-1850,UK! R-U
WSIATR,Workplace Safety and Insurance Appeals Tribunal Reporter,1998-,Can (ON)
W W & A'B,Wyatt# Webb & A'Beckett's Reports (Supreme Court of Victoria),1866-1871,Austl
WWR,Western Weekly Reports ,1911-1 950# 1971-,Can
WWR (NS),Western Weekly Reports (New Series) ,1951-1970,Can
YAD / Young Adm,Young's Admiralty Decisions ,1864-1 880,Can (NS)
Y & C Ex,Younge & Collyer's Reports (ER vol 160) ,1834-1 842,UK! R-U
Y & CCC,Younge & Collyer's Chancery Cases (ER vols 62-63),1841-1843,UK! R-U
Y & J,Younge & Jervis's Reports (ER vol 148) ,1826-1 830,UK! R-U
YB Eur Conv HR,Yearbook of the European Convention on Human Rights,1955-,EU! UE
YR,Yukon Reports  ,1986-1989,Can
Yel,Yelverton's Reports (ER vol 80) ,1603-1613,UK!R-U
You,Younge's Reports (ER vol 159) ,1830-1 832,UK!R-U
