CTTTCRAA,Decisions du Commissaire du travail# du Tribunal du travail et de Ia Commission de reconnaissance des associations d'artjstes,Can (QC),1994-1997
Cun,Cunningham's Reports (ER vol 94),UK / R-U,1734-1736
Curt,Curteis's Reports (ER vol 163),UK / R-U,1834-1844
D,Recuell Dalloz,France,1945-1 965
DA,Recuell analytique de jurisprudence et de legislation (Dalloz),France,194 1-1944
Dan,Daniell's Reports (ER vol 159),UK/R-U,18 17-1820
Davis,Davis's Reports (Ireland) (ER vol 80),I,1604-16 12
DC,Recueil critique Dalloz,France,194 1-1945
DCA,Canada# Commission de Ia fonction publique du Canada# decisions du comite d'appel,Can,1979-1999
DCA,Decisions de a cour d'appel I Queen's Bench Reports (Dorion),Can (QC),1880-1886
DCDRT,Decisions sur des conflits de droit dans les relations du travail,Can (QC),1964-1970
DCL,Decisions de Ia Commission des Ioyers,Can (QC),1975-1 981
DCR,New Zealand District Court Reports,NZ / N-Z,1980-
DCRM,Commission de revision des marches publics du Canada# decisions,Can,1990-?
DDCP,Decisions disciplinaires concernant lea corporations professionnelles,Can (QC),1974-
DDOP,Decisions disciplinaires concernant les ordres profess ionnels,Can (QC),1995-
Dee & Sw,Deane & Swabey's Reports (ER vol 164),UK / R-U,1855-1857
Dears,Dearsly's Crown Cases (ER vol 169),UK /R-U,1852-1 856
Dears & B,Dearsly and Bell's Crown Cases (ER vol 169),UK/R-U,1856-1858
Dec B-C,Decisions des Tribunaux du Bas-Canada,Can (QC),185 1-1867
Dec trib Mont,Précis des decisions des tribunaux du district de Montréal,Can (QC),1853-1 854
De G & J,De Gex & Jones's Reports (ER vols 44-45),UK/R-U,1857-1859
De G & Sm,De Gex & Smale's Reports (ER vols 63-64),UK/R-U,1846-1849
De G F & J,De Gex# Fisher & Jones's Reports (ER vol 45),UK / R-U,1859-1862
De G J & S,De Gex# Jones & Smith's Reports (ER vol 46),UK I R-U,1863-1865
De G M & G,De Gex# Macnaghten & Gordon's Reports (ER vols 42-44),UK I R-U,185 1-1857
DELD,Dismissal and Employment Law Digest,Can,1986-
DELEA,Digest of Environmental Law and Environmental Assessment,Can,1992-
Den,Denison's Crown Cases (ER vols 1-2),UK / R-U ,1844-1852
Des OAL,Decisions des orateurs de I'Assemblee legislative de Ia province de Quebec (Desjardins),Can (QC),1867-1 901
DFQE,Droit fiscal quebecois express,Can (QC),1977-
DH,Recueil hebdomadaire DaIloz,France,1924-1940
Dick,Dickens's Reports (ER vol 21),UK! R-U,1559-1798
DJC,Canadian Current Law: Documentation juridique au Canada,Can,1991-
DJG,DalIoz jurisprudence generale,France,1845-1923
DLQ,Droits et libertes au Québec,Can (QC),1986-1987
DLR,Dominion Law Reports,Can,19 12-1955
DLR (2d),Dominion Law Reports (Second Series),Can,1956-1968
DLR (3d),Dominion Law Reports (Third Series),Can,1969-1984
DLR (4th),Dominion Law Reports (Fourth Series),Can,1984-
DOAL,Decisions des orateurs# assemble legislative,Can (NB),1923-1982
Dods,Dodson's Reports (ER vol 165),UKIR-U,18 11-1822
Donn,Donnelly's Reports (ER vol 47),UK! R-U,1836-1837
Doug,Douglas's Reports (ER vol 99),UK! R-U,1778-1785
Dow,Dow's Reports (ER vol 3),UK / R-U,1812-1 818
Dow & Cl,Dow & Clark's Reports (ER vol 6),UK! R-U,1827-1832
